reference,longitude,latitude,10/27/12 0:00,10/27/12 12:00,10/28/12 0:00,10/28/12 12:00,10/29/12 0:00,10/29/12 12:00,10/30/12 0:00,10/30/12 12:00,10/31/12 0:00,10/31/12 12:00,11/1/12 0:00,11/1/12 12:00,11/2/12 0:00,11/2/12 12:00,11/3/12 0:00,11/3/12 12:00,11/4/12 0:00,11/4/12 12:00,11/5/12 0:00,11/5/12 12:00,11/6/12 0:00,11/6/12 12:00,11/7/12 0:00,11/7/12 12:00,11/8/12 0:00,11/8/12 12:00,11/9/12 0:00
asset_348,-73.95654932,40.81441309,9.63E-06,9.63E-06,9.63E-06,9.63E-06,9.63E-06,1.13E-05,1.13E-05,1.13E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05
asset_349,-73.93199513,40.80016081,0.000125553,0.000125691,0.000125829,0.000125967,0.000126105,0.000126243,0.000126381,0.000126519,0.000126657,0.000126796,0.000126934,0.000127072,0.00012721,0.000127349,0.000127487,0.000127625,0.000127764,0.000127902,0.000128041,0.000128179,0.000128318,0.000128456,0.000128595,0.000128733,0.000128872,0.000129011,0.00012915
asset_350,-73.98673743,40.76710768,6.97E-06,6.97E-06,6.97E-06,6.97E-06,6.97E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.17E-06,7.17E-06,7.18E-06,7.18E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06
asset_351,-73.97891781,40.7316202,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,6.92E-07,7.12E-07,7.47E-07,7.70E-07,8.15E-07,8.15E-07,8.15E-07,8.15E-07,8.16E-07,8.16E-07,8.16E-07,8.16E-07,8.16E-07,8.16E-07
asset_352,-73.98984677,40.72481013,8.76E-06,8.76E-06,8.76E-06,8.79E-06,8.79E-06,8.80E-06,8.80E-06,8.80E-06,8.81E-06,8.81E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.82E-06,8.83E-06,8.84E-06,8.84E-06,8.84E-06
asset_353,-73.93188969,40.86377662,1.88E-05,1.88E-05,1.88E-05,1.88E-05,2.08E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05
asset_354,-73.96102818,40.77538448,3.65E-05,3.65E-05,3.65E-05,3.65E-05,3.65E-05,3.65E-05,3.65E-05,3.65E-05,3.72E-05,3.72E-05,3.72E-05,3.72E-05,3.72E-05,3.72E-05,3.72E-05,3.73E-05,3.74E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05
asset_355,-73.99727895,40.74499468,0.001339298,0.00133939,0.001339483,0.001339575,0.001339668,0.00133978,0.001339872,0.001339965,0.001340057,0.00134015,0.001340242,0.001340335,0.001340427,0.00134052,0.001340613,0.001340705,0.001340798,0.00134089,0.001340983,0.001341075,0.001341168,0.001341261,0.001341353,0.001341446,0.001341538,0.001341631,0.001341724
asset_356,-73.98600815,40.7510532,1.07E-05,1.07E-05,1.07E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05
asset_357,-73.95790522,40.76110958,8.80E-07,8.80E-07,8.80E-07,8.80E-07,8.80E-07,8.80E-07,8.80E-07,8.81E-07,8.81E-07,8.81E-07,8.81E-07,8.81E-07,8.81E-07,8.81E-07,8.81E-07,8.82E-07,8.82E-07,8.82E-07,8.82E-07,8.82E-07,8.83E-07,8.83E-07,8.83E-07,8.83E-07,8.83E-07,8.84E-07,8.84E-07
asset_358,-73.99431094,40.76968005,9.30E-05,9.31E-05,9.32E-05,9.33E-05,9.34E-05,9.35E-05,9.36E-05,9.37E-05,9.38E-05,9.39E-05,9.40E-05,9.41E-05,9.42E-05,9.43E-05,9.44E-05,9.45E-05,9.46E-05,9.47E-05,9.48E-05,9.49E-05,9.50E-05,9.51E-05,9.52E-05,9.53E-05,9.54E-05,9.55E-05,9.56E-05
asset_359,-73.97133945,40.76632568,0.000791558,0.000791611,0.000791664,0.000791759,0.000791812,0.000791932,0.000791985,0.000792038,0.000792091,0.000792145,0.000792198,0.000792251,0.000792304,0.000792357,0.000792446,0.000792583,0.000792636,0.000792742,0.000792896,0.000793113,0.000793492,0.000794559,0.000796323,0.000797773,0.0007985,0.000799399,0.000800318
asset_360,-73.95657615,40.78024083,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06,1.59E-06
asset_361,-73.99236169,40.77499882,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.29E-06,5.30E-06,5.30E-06,5.30E-06,5.30E-06,5.30E-06
asset_362,-74.00090546,40.72094818,7.90E-05,7.90E-05,7.91E-05,7.92E-05,7.92E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.94E-05,7.97E-05,7.97E-05,7.97E-05,7.98E-05,7.98E-05,7.98E-05,7.98E-05,7.98E-05,7.98E-05,7.99E-05,8.00E-05,8.01E-05
asset_363,-74.0225332,40.68560571,0.000144132,0.000144143,0.000144153,0.000144163,0.000144173,0.000144184,0.000144194,0.000144204,0.000144214,0.000144224,0.000144234,0.000144245,0.000144255,0.000144265,0.000144275,0.000145251,0.000145261,0.000145271,0.000145281,0.000145291,0.000145301,0.000145312,0.000145322,0.000145333,0.000145344,0.000145354,0.000145364
asset_364,-73.99502666,40.76646976,7.18E-06,7.19E-06,7.19E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.22E-06,7.23E-06,7.23E-06,7.23E-06,7.23E-06,7.23E-06,1.05E-05,1.05E-05,1.05E-05,1.05E-05,1.05E-05,1.05E-05
asset_365,-73.97986427,40.73935298,0.00010198,0.000101987,0.000101995,0.000102002,0.00010201,0.000102017,0.000102793,0.000102801,0.000102808,0.000102816,0.000102824,0.000104115,0.000104122,0.00010413,0.000104137,0.000104145,0.000104183,0.000104191,0.000104198,0.000104206,0.000104213,0.000104221,0.000104229,0.000104236,0.000104244,0.000104252,0.000104259
asset_366,-73.95412433,40.81078923,2.63E-05,2.64E-05,2.64E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.66E-05,2.69E-05,2.73E-05,2.78E-05,2.82E-05
asset_367,-73.98321005,40.72208394,7.87E-06,7.87E-06,7.87E-06,7.99E-06,7.99E-06,7.99E-06,7.99E-06,8.00E-06,8.00E-06,8.00E-06,8.00E-06,8.00E-06,8.00E-06,8.01E-06,8.01E-06,8.01E-06,8.01E-06,8.01E-06,8.02E-06,8.02E-06,8.02E-06,8.02E-06,8.02E-06,8.02E-06,8.03E-06,8.03E-06,8.03E-06
asset_368,-74.00791042,40.75225484,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.35E-05,4.36E-05,4.36E-05
asset_369,-73.91481119,40.79260806,3.00E-05,3.01E-05,3.01E-05,3.01E-05,3.02E-05,3.02E-05,3.02E-05,3.02E-05,3.02E-05,3.02E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.04E-05,3.06E-05,3.06E-05,3.17E-05,3.17E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.19E-05,3.19E-05
asset_370,-73.9523874,40.80661942,0.001935871,0.001936006,0.001936141,0.00193628,0.001936415,0.00193655,0.001936685,0.00193682,0.001936956,0.001937091,0.001937226,0.001937374,0.001937509,0.001937725,0.00193786,0.001938034,0.001938169,0.001938304,0.001938439,0.001938575,0.00193871,0.001938845,0.00193898,0.001939115,0.00193925,0.001939385,0.00193952
asset_371,-73.95664542,40.77646735,8.73E-05,8.73E-05,8.74E-05,8.75E-05,8.75E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.82E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05
asset_372,-73.99171689,40.73733531,0.000358692,0.000358717,0.000358747,0.000358786,0.000358822,0.000358848,0.000358872,0.000358896,0.00035892,0.000358944,0.000358968,0.000358993,0.000359017,0.000359123,0.000359185,0.000359283,0.000359391,0.000359573,0.000359726,0.000367044,0.000367112,0.000367154,0.00036718,0.000367237,0.000367281,0.000367323,0.000367354
asset_373,-73.94333739,40.76796611,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05
asset_374,-74.00770637,40.71272238,3.66E-05,3.66E-05,3.66E-05,3.66E-05,3.66E-05,3.66E-05,3.66E-05,3.66E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.67E-05,3.68E-05,3.68E-05,3.68E-05,3.68E-05
asset_375,-73.92470437,40.7893963,0.000256479,0.000256497,0.000256515,0.000256549,0.000256567,0.000256585,0.000256603,0.000256621,0.000256639,0.000256657,0.000256674,0.000256692,0.00025671,0.000256728,0.000256746,0.000256764,0.000256782,0.0002568,0.000256818,0.000256836,0.000256853,0.000256871,0.000256889,0.000256907,0.000256925,0.000256943,0.000256961
asset_376,-73.97701601,40.75140535,0.000212589,0.000212604,0.000212619,0.000212634,0.000212649,0.000212664,0.000212679,0.000212694,0.000212709,0.000212723,0.000212738,0.000212753,0.000212768,0.000212783,0.000212798,0.000212812,0.000212829,0.000212844,0.000212859,0.000212873,0.000212888,0.000212903,0.000212918,0.000212933,0.000212948,0.000212962,0.000212977
asset_377,-73.92711724,40.79724652,0.000632474,0.000632551,0.000632599,0.000632643,0.000632693,0.000632748,0.000632792,0.000632836,0.00063288,0.000632925,0.000632969,0.000633013,0.000633057,0.000633101,0.000633145,0.000633191,0.000633235,0.000633281,0.000633326,0.00063337,0.000633415,0.000633459,0.000633503,0.000633548,0.000633592,0.000633637,0.000633681
asset_378,-73.96619795,40.79357615,0.00045496,0.000454992,0.000455024,0.000455056,0.000455087,0.000455119,0.000455151,0.000455183,0.000455214,0.000455246,0.000455278,0.00045531,0.000455341,0.000455373,0.000455405,0.000455441,0.00045549,0.000455543,0.000455575,0.000455638,0.00045567,0.000455711,0.000455766,0.000455798,0.000455831,0.000455862,0.000455895
asset_379,-73.97428822,40.75371518,8.61E-06,8.61E-06,8.61E-06,8.61E-06,8.70E-06,8.70E-06,8.70E-06,8.70E-06,8.70E-06,8.70E-06,8.70E-06,8.70E-06,8.71E-06,8.71E-06,8.72E-06,8.98E-06,8.99E-06,9.09E-06,9.09E-06,9.09E-06,9.09E-06,9.10E-06,9.10E-06,9.10E-06,9.10E-06,9.10E-06,9.10E-06
asset_380,-73.95236298,40.7915569,8.34E-06,8.34E-06,8.34E-06,8.34E-06,8.34E-06,8.34E-06,8.34E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.35E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06,8.41E-06
asset_381,-74.00603789,40.72984216,0.00010898,0.000108997,0.000109014,0.000109031,0.000109049,0.000109066,0.000109083,0.0001091,0.000109118,0.000109135,0.000109152,0.000109169,0.000109187,0.000109204,0.000109221,0.000109238,0.000109256,0.000109273,0.00010929,0.000109307,0.000109325,0.000109342,0.000109359,0.000109376,0.000109394,0.000109411,0.000109428
asset_382,-73.99157275,40.71830267,0.00044297,0.000443001,0.000443032,0.000443063,0.000443094,0.000443125,0.000443156,0.000443187,0.000443238,0.00044327,0.000443302,0.000443333,0.000443364,0.000443395,0.000443426,0.000443463,0.000443588,0.000443716,0.000443747,0.000443778,0.000443809,0.00044384,0.000443871,0.000443902,0.000443933,0.000443964,0.000443995
asset_383,-73.93649635,40.79822015,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.28E-05,4.29E-05,4.29E-05,4.29E-05,4.29E-05,4.29E-05
asset_384,-73.97923382,40.71383155,0.00011344,0.000113455,0.000113463,0.000113471,0.000113479,0.000113488,0.000113496,0.000113504,0.000113513,0.000113521,0.000113529,0.000113537,0.000113546,0.000113554,0.000113562,0.00011357,0.000113579,0.000113587,0.000113595,0.000113603,0.000113612,0.00011362,0.000113628,0.000113636,0.000113648,0.000113656,0.000113665
asset_385,-74.01841695,40.69128094,0.000262601,0.000262622,0.000262646,0.000262666,0.000262693,0.000262712,0.00026273,0.000262748,0.000262767,0.000262785,0.000262804,0.000262823,0.000262841,0.000262859,0.000262879,0.000262898,0.00026292,0.000262942,0.000262963,0.000262985,0.000263006,0.000263026,0.000263044,0.000263065,0.000263086,0.000263112,0.000263145
asset_386,-73.98805988,40.77308794,0.000304951,0.000304974,0.000304996,0.000305023,0.000305045,0.000305232,0.000305254,0.000305277,0.000305299,0.000305321,0.000305343,0.000305365,0.000305388,0.00030541,0.000305442,0.000305464,0.000305488,0.000305642,0.000305664,0.000305686,0.000305709,0.000305731,0.000305753,0.00030583,0.000305852,0.000305875,0.000305897
asset_387,-73.965423,40.77097676,0.000124179,0.000124197,0.000124354,0.000124378,0.000124645,0.000124654,0.000124663,0.000124672,0.00012468,0.000124689,0.000124698,0.000124707,0.000124715,0.000124724,0.00012475,0.000124759,0.000124771,0.000124822,0.00012483,0.000125108,0.000125117,0.000169539,0.000169553,0.000169564,0.000169576,0.000169588,0.0001696
asset_388,-73.94567137,40.80644534,0.000296171,0.000296217,0.000296238,0.000296265,0.000296287,0.000296406,0.000296428,0.00029645,0.000296472,0.000296493,0.000296515,0.000296537,0.000296559,0.000296581,0.000296603,0.000296625,0.000296647,0.000296669,0.000296693,0.000296715,0.000296737,0.000296816,0.000296846,0.000296867,0.000296903,0.000296927,0.00029696
asset_389,-73.98752391,40.74659657,0.000112706,0.00011283,0.000112953,0.000113077,0.000113201,0.000113325,0.000113449,0.000113573,0.000113697,0.000113821,0.000113945,0.000114069,0.000114193,0.000114318,0.000114442,0.000114566,0.00011469,0.000114815,0.000114939,0.000115063,0.000115188,0.000115312,0.000115436,0.000115561,0.000115685,0.00011581,0.000115934
asset_390,-73.93501828,40.84901062,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.39E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05
asset_391,-73.99228231,40.72151224,1.37E-05,1.37E-05,1.37E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05
asset_392,-73.97560148,40.72926287,4.46E-06,4.47E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.53E-06,4.53E-06,4.53E-06
asset_393,-73.93143487,40.86806587,8.84E-06,8.84E-06,8.84E-06,8.84E-06,8.84E-06,8.84E-06,8.84E-06,8.84E-06,8.86E-06,8.86E-06,8.86E-06,8.86E-06,8.86E-06,8.86E-06,8.86E-06,8.86E-06,8.86E-06,8.87E-06,8.87E-06,8.87E-06,8.87E-06,8.88E-06,8.88E-06,8.88E-06,8.88E-06,8.90E-06,8.90E-06
asset_394,-73.94065832,40.77145911,0.000137496,0.000137507,0.000137518,0.000137529,0.000137541,0.000137552,0.000137562,0.000137572,0.000137583,0.000137593,0.000137605,0.000137617,0.000137628,0.000137642,0.000137655,0.000137669,0.000137682,0.000137695,0.000137708,0.000137721,0.000137732,0.000137745,0.000137756,0.000137768,0.000137781,0.000137794,0.000137807
asset_395,-73.94746172,40.80913573,0.002029341,0.002030134,0.002030926,0.002031719,0.002032512,0.002033305,0.002034098,0.002034891,0.002035684,0.002036478,0.002037271,0.002038064,0.002038858,0.002039651,0.002040445,0.002041238,0.002042032,0.002042826,0.00204362,0.002044414,0.002045208,0.002046002,0.002046796,0.00204759,0.002048384,0.00204918,0.002049974
asset_396,-73.93320471,40.79394635,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05,1.65E-05
asset_397,-73.94597096,40.84219993,0.000101873,0.000101881,0.000101924,0.000101965,0.000101973,0.000101981,0.000101989,0.000101996,0.000102004,0.000102012,0.00010202,0.000102028,0.000102036,0.000102044,0.000102052,0.00010206,0.000102068,0.000102076,0.000102084,0.000102092,0.0001021,0.000102108,0.000102116,0.000102124,0.00010216,0.000104163,0.000104175
asset_398,-74.00114103,40.7603263,0.000219384,0.000219419,0.000219444,0.000219608,0.000219639,0.00021966,0.000219676,0.000219693,0.00021971,0.000219726,0.000219743,0.00021976,0.000219776,0.000219793,0.00021981,0.000219884,0.000219901,0.000220515,0.000220532,0.000220605,0.000220622,0.000220654,0.000220671,0.000220702,0.000220719,0.000220745,0.000220762
asset_399,-73.93546256,40.8122719,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.64E-06,8.64E-06,8.64E-06,8.64E-06,8.65E-06,8.65E-06,8.65E-06,8.65E-06,8.68E-06,8.68E-06,8.68E-06,8.68E-06,8.70E-06,8.70E-06
asset_400,-73.95618362,40.78330158,7.63E-05,7.63E-05,7.63E-05,7.63E-05,7.63E-05,7.63E-05,7.63E-05,7.63E-05,7.63E-05,7.64E-05,7.64E-05,7.64E-05,7.64E-05,7.64E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.66E-05,7.66E-05,7.66E-05,7.66E-05
asset_401,-73.96834812,40.80599038,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.94E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.95E-06,5.96E-06,5.96E-06,5.96E-06
asset_402,-73.92697254,40.85655093,0.009408579,0.009409385,0.009410329,0.00941266,0.009413344,0.009414027,0.009414711,0.009415395,0.009416079,0.009416763,0.009417447,0.009418131,0.009418815,0.009419499,0.009420183,0.009420867,0.009421551,0.009422235,0.00942292,0.009423604,0.009424288,0.009424972,0.009425656,0.00942634,0.009427024,0.009427708,0.009428392
asset_403,-73.94510699,40.84788273,0.00093617,0.000936239,0.000936484,0.000936553,0.000937558,0.000937626,0.000937694,0.000937763,0.000937831,0.000937899,0.000937967,0.000938035,0.000938103,0.000938171,0.00093824,0.000938334,0.000938402,0.000938477,0.000938545,0.000940039,0.000940107,0.000940175,0.000940244,0.000940312,0.00094038,0.000940448,0.000940517
asset_404,-73.95144795,40.80914381,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05,6.36E-05
asset_405,-73.92889755,40.86514423,1.91E-06,1.91E-06,1.91E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,2.19E-06,2.19E-06,2.19E-06,2.19E-06,2.19E-06,2.20E-06,2.20E-06,2.20E-06,2.21E-06,2.21E-06
asset_406,-73.96937238,40.75605493,0.005308696,0.005309331,0.005309827,0.005310216,0.005310655,0.005311195,0.005311581,0.005311967,0.005312352,0.005312738,0.005313124,0.00531351,0.005313896,0.005314282,0.005314668,0.005315797,0.005316185,0.005316603,0.005316989,0.005317382,0.005317768,0.005318156,0.005318543,0.00531893,0.005319316,0.005319704,0.005320091
asset_407,-73.96770897,40.80958251,6.03E-05,6.03E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.04E-05,6.05E-05,6.05E-05,6.05E-05,6.05E-05,6.05E-05,6.08E-05,6.08E-05,6.09E-05,6.09E-05,6.11E-05,6.11E-05
asset_408,-73.99412728,40.75290996,2.90E-07,2.90E-07,2.90E-07,2.90E-07,2.90E-07,2.90E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07,2.91E-07
asset_409,-74.01629379,40.71499474,0.041772906,0.041775946,0.041779487,0.041782534,0.041785673,0.04178874,0.041791776,0.041794812,0.041797848,0.041800884,0.04180392,0.041806957,0.041809993,0.041813029,0.041816067,0.04181964,0.041822785,0.041827189,0.041830226,0.041833263,0.0418363,0.041839338,0.041842375,0.041845412,0.041848449,0.041851488,0.041854525
asset_410,-73.98724337,40.72231311,5.85E-06,5.89E-06,5.89E-06,5.91E-06,5.96E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,5.98E-06,6.01E-06,6.01E-06,6.03E-06,6.03E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06
asset_411,-73.99232797,40.70984307,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05
asset_412,-73.97261487,40.74375349,0.000563552,0.000563597,0.00056364,0.00056371,0.000563751,0.000563792,0.000563833,0.000563874,0.000563915,0.000563956,0.000563997,0.000564038,0.000564079,0.00056412,0.000564161,0.000564206,0.000564247,0.000564413,0.000564454,0.000564505,0.000564546,0.000564587,0.000564628,0.000564673,0.000564714,0.000564972,0.000565013
asset_413,-73.94302296,40.77549426,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.30E-05,3.30E-05,3.30E-05,3.30E-05,3.30E-05,3.30E-05
asset_414,-74.00164008,40.72443872,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.38E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05
asset_415,-73.94485279,40.7688647,2.03E-06,2.03E-06,2.25E-06,2.25E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.02E-06,6.03E-06,6.03E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.04E-06,6.06E-06,6.06E-06
asset_416,-73.94125103,40.82068191,0.000104622,0.000104632,0.000104639,0.000104652,0.00010466,0.000104668,0.000104675,0.000104683,0.00010469,0.000104698,0.000104706,0.000104713,0.000104721,0.000104728,0.000104736,0.000104744,0.000104751,0.000104759,0.000104767,0.000104775,0.000104783,0.00010479,0.000104798,0.000104806,0.000104813,0.000104821,0.000104829
asset_417,-73.93974581,40.79387982,0.000329185,0.000329232,0.000329495,0.000329578,0.000329624,0.000329839,0.000329863,0.000329887,0.000329911,0.000329935,0.000329959,0.000329983,0.000330007,0.000330031,0.000330056,0.000330296,0.000330365,0.000334019,0.000334043,0.000334067,0.000334092,0.000334116,0.00033414,0.000334166,0.00033419,0.000334214,0.000334239
